created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Mon Jul 11 11:36:22 +0000 2022,1546458372199034881,"Sempit ? Kan namanya juga Street Race  ya di jalanan laaa. Agar nama Fadil sbg Kapolda Metro lebih melegenda, kasi nama sekalian KM50 Street Race. https://t.co/v0cLexhsJp",5,32,169,622,in,227320530,1546458372199034881,hipohan,https://twitter.com/hipohan/status/1546458372199034881,
Sun Jul 10 01:33:04 +0000 2022,1545944159600934913,🫶 GAIS LIAT KAK FADIL 😭   https://t.co/ymPrNeR2zy,282,196,418,4339,in,2503485216,1545944159600934913,nctzenbase,https://twitter.com/nctzenbase/status/1545944159600934913,
Sun Jul 10 00:56:01 +0000 2022,1545934837135319041,WEYY CHILZEN! UDAH LIAT BELOM CHERRY BOMB PERFORMANCE FADIL JAIDI VERSION?? 😃😃   https://t.co/pU7zFc1Wgt,296,146,459,2308,in,1333095322638118912,1545934837135319041,nct127fess_,https://twitter.com/nct127fess_/status/1545934837135319041,
Sat Jul 02 06:01:55 +0000 2022,1543112713005580290,"Kalau orang lain meninggalkan kita padahal kita sangat butuh bantuannya, itu pertanda Tuhan sendiri yang akan turun tangan.”  - Gus Fahrizal Fadil",9,8,264,1425,in,1220418794474086402,1543112713005580290,Kiyaikita,https://twitter.com/Kiyaikita/status/1543112713005580290,
Fri Jul 01 11:15:08 +0000 2022,1542829150439755778,"Yaudah Ting, ni pesan dari Apis, salah satu bocilnya Fadil Jaidi @.Ginting https://t.co/4Mg71xYVGg",126,46,628,2717,in,1432020460477181956,1542829150439755778,loxkleyrussell,https://twitter.com/loxkleyrussell/status/1542829150439755778,
Sat Jun 25 05:10:29 +0000 2022,1540563057927401473,@starfess FADIL JAIDI BUCIN RENJUN😭👍,42,28,92,4005,in,1139445378195968001,1540561720565190656,ayasya_store,https://twitter.com/ayasya_store/status/1540563057927401473,starfess
Mon Jun 20 13:15:59 +0000 2022,1538873295659233281,"Jiahhhh...Cemen..!! Polisi takut @KRMTRoySuryo2. Ncu @Jokowi sepertinya sudah harus resufle kabinet lagi nih. @ListyoSigitP jadi Gubernur&amp kapolda metro jaya Fadil Imran di angkat jadi Kapolri baru. Hebat lho Fadil Imron,dia nangkepin Khilafatul Muslimin&amp lucuti daster FPI  😂😅🔥",6,97,131,735,in,1271319727751610385,1538873295659233281,KaredokLeunca__,https://twitter.com/KaredokLeunca__/status/1538873295659233281,"KRMTRoySuryo2, Jokowi, ListyoSigitP"
Sat Jun 18 23:59:35 +0000 2022,1538310486873501696,@convomf Iya. Gw kaget bgt pas liat di igs nya Fadil wkwk. Pdhl dulu ga gitu banget deh,3,3,1,517,in,1534511361933225984,1538306842606317569,merkuriyous,https://twitter.com/merkuriyous/status/1538310486873501696,convomf
Sat Jun 18 15:32:42 +0000 2022,1538182928811040768,dah fix jadi nct! j si fadil 😭👍🏻 https://t.co/3m7zQsw9f0,231,244,475,17288,in,1275010241017462784,1538182928811040768,nct_menfess,https://twitter.com/nct_menfess/status/1538182928811040768,
Sat Jun 18 08:07:41 +0000 2022,1538070935978364933,"@jehianps abis bang fadil, sekarang jerome bang ian, INI KENAPA PADA TER DREAMIES2😭😭😭👍🏼👍🏼👍🏼",0,2,7,1844,in,1305687449402658819,1538066896615927808,maelkli,https://twitter.com/maelkli/status/1538070935978364933,jehianps
